"Х Корадо  1мл колорад жук, белокрылка, тля, трипс 1/200(2 года)",3, +  13.07.17 пер(СКЛАД недостача по производству) -  П 01.08.17 +, +  К 23.08.16 -  П 01.09.16 +, +  К 31.01.15 -  П 03.02.15 +,5,10,40,30,21,106,13,10,12,20, ,72,73,205,40,36,303,265,445,1333,1322,2234,1331,1209,218,187,910,52,46,4,9,4, , , , , , , ,20, , , , ,6, , , , , , , ,2, ,2,24,50,80,150, ,12,9,61,5,210,35,36,284,66,120,340,132,635,829,501,1365,1685,2426,102, , ,30,8,52, , , ,5,10, , , , , ,1, , , , , , , , ,50,7, , ,20,20,13,20,2, ,31,10,64,255,125, ,254,100,416,95,726,1167,1108,443,668,778,1399,1101,371,29,80,9,25,11,2, , ,1,20, , , , , ,20, , , , ,30, , , , , ,10,40, ,2, ,20, ,3,24,12, ,25,30,200,196,54,246,264,523,845,2378,2607,3374,3029,429,386,145,112,47,57,33, , ,2, , , , , , , , ,4, , , , , , ,
"Х Рубит Заман 5мл  колорад жук, тля 1/200(2 года)",3,+, +  23.08.16 пер(ХИМИЯ переделка) -  П 16.12.16 +, -  П 13.05.15 +  К 10.06.15 -  П 28.12.15 +, , ,2, , ,1, , ,10, ,4,50,10, ,1,12,13,5,1,90,82, , ,8, , ,500,322,2,2, , ,1, , , , , , ,1, ,17,1, ,2, , , , , , , ,5, ,2, ,1, ,2, , , ,23,12, , , , , ,4,3,133,20,16,86,261,321,107,250, ,10,4, ,4, ,1, , , , ,10, , , , , , , , , , , , , , , , ,1,1,10,10,3,1, ,23,1,1,12,30,1,22,32,1,25,28,77,60,70,20,2,2,1,33, ,1,2, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,2,2,132,88,76,63,1,16,7,10,1, , , , , , , , , , , , , , , , , , , , , , 
"Х Ци-альфа 1мл колор жук, широкий спектр вредит, устойчив к смыванию 1/200(2 года)",3, +, +  К 22.08.16 -  П 20.12.16 +, +  К 31.01.15 -  П 03.02.15 +,60, ,10,10, , , ,10, , , ,3,12,21,10,21,24,403,1,224,543,47,299,190, ,50,886,48, , , , ,50, , , , , , , , , , , , , , , , , , , , , ,10, ,1,1,22, , ,3,27, ,45,221, ,17,11,54,4,51,25,78,577,39,197,40,60,10, ,15,57,12,22, , , , , , , , , , , , , , , , ,10,1, ,200, , ,53, ,11, , , ,10,13,38,22,3,35,6,31,12,15,18,217,143,190,20,88,128,100,10,20,137, ,15,3,10, , , , , , , , , , , , , , , , , , , , ,3,2,20, ,10,2,200,50,31,60,17,203,14,46,272,432,228,9,11,53,256,333,651,386,513,79,95,101,32,89,10,34,2,2,3,6, ,1, , , , , , , , , , , , 
Х Прополол  4гр от сорняков на газонах 1/240(5 лет),3, +  К 05.06.17 -  П 15.12.17 +, -  П 12.01.16 +, +  К 03.06.15 -, , , , , , , , , , , ,10, , , , ,10, ,11,5,29,15,155,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , ,11, ,20, ,4,6,14,10,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,2, , , , , ,10,20, ,10,20, , ,10, , , ,2, , ,4,5, ,10, , ,15,2, ,20,2, , ,21, , , , , , , , , , , , , , , , , , , , , , , , , ,20, , ,10, ,6,10,134, ,3,8, ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
Х Прополол 10гр от сорняков на газонах 1/160(5 лет),3, -  П 15.12.17 +, +  К 03.09.16 -, +, , , , , , , , ,10, ,10, , ,3,5,1, ,15, ,4,11,3,11,23,6, ,10,10, ,1, , , ,3, , , , , , ,100, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,2,3, , , , , , ,4, , , , , ,15, ,23,18,32,1,20, ,1,7,62,5,10,13,1, , , ,22, , , , , , , , , , , , , , , , , , , , , ,2, , , , , ,2, , ,17, ,1,1,2,2,56,52,2,25,4,4, ,30, , , , , , , , ,10, , ,2,5, , , , ,50, , , , , , , 
Х Раундап  50мл от всех видов сорняков 1/23(5 лет),3, +  К 20.02.17 -  П 08.05.17 +, +, +,1, ,15, ,2, , ,5,6, , ,16,10, ,22,21,85,20,143,129,165,165,148,72,68,21,73,11,13,38,5, ,2,1, , , , ,7,3,2,4, ,1,1, , , , , , , , , , ,10, , ,27,23,2,1,5,1,2, , ,1, , ,78,88,203,56,47,85,71,56,39,61,51,27,18,22,13,22, ,4, ,1,3,2, , , , , , , , , ,23, , ,1,10, ,23, , , , , ,33,26,4,6,53,57,151,46,151,193,232,330,185,159,121,227,66,61,33,58,8,32,18,16,5, ,1,11,29,13,10,20, ,2, , , , , , , , ,10, , , , , , ,23,1,33, , ,45, ,26, ,6,39,115,237,234,218,357,155,83,153,173,262,63,41,43,50,11,21,10,3,10,9,31,70,10,10,33, ,1, , , , , , , , 
Х Раундап 140мл от всех видов сорняков 1/12(5 лет),3, +, +, -  П 20.02.15 +, , ,3, , , ,6,3, , , , , , ,5,2,20,16,61,96,63,60,48,47,6,6,22,12,6,11,22,23,17,16,20,5,2,1, , ,5, , , , , , , , , , , , , , , ,3,1,2,30, ,11, , , ,5,8,59,14,41,33,55,92,42,27,36,5,28,10,20,29,14,2, ,12,7,1, ,6, ,1,3, , , , , , , , , , ,5, ,1,10, , , , , , , , ,19,6,3,3,16,8,27,28,93,114,103,40,27,46,42,16,19,12,16,5,11,15,12,8,2, ,6,8,10,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,13,14,32,6,167,121,36,18,38,45,12,25,11,10,5,7,9,2, ,8,4,5,31,4,1,1, , ,2, , , , , , , 
Х Раундап 1л от всех видов сорняков 1/6(5 лет),3, +, +, +, , , , , , , ,1,2,1, , , , ,4, ,7,4,6,17,10,9,4,5,6,3, ,4,5,4, ,1, ,3, , , , , , , , , , ,1, , ,1, ,1, , , , , , , ,1,1, , , , ,1, ,1,1,2,4,3,8,21,6,6,8, ,2,7,12,13,8,7,3,1,4, ,16, , ,1, , , , , , , , , , , , , , , , , , , , , ,1,1, ,2,2, ,2,2,2,51,2,1,5,11,5,13,13,2,1,17,2,3, ,1,1, ,2, ,1, , , , , , ,1, , ,3, , , , , , , ,1, , , ,2,3,2,5, , , ,2,1,1,2,4,8,22,14,14,24,6,7,6,8,3,16,6,14,4,1,2,2, ,2,1,1,3, ,1, ,7,10,1, , , , , , , 
Х Раундап 500мл от всех видов сорняков 1/12(5 лет),3, +  К 28.07.17 -  П 11.12.17 +, +, +, , , , , , , ,1, ,3, ,1,2, , ,1,14,6,12,28,46,18,22,12,7,15,3,27,6,9,3,2,5,3, ,3, ,1,2, , , , ,1, , , , , , , , , , , , , ,1, ,3, , , , ,2, ,9,15,9,25,28,51,28,17,15,12,9,16,6,13,15,6, , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , ,1, , ,2,3, ,3,4,2,7,9,21,21,17,11,14,15,10,10,1,7,1,1, ,3,13,1, ,4,1,3, ,2,3, , , , ,1, , , , ,1, , ,2, ,5, ,1,2, ,12, , , ,5,8,10,6,25,17,22,4,16,34,29,24,27,13,7,6,3,5,11, ,5, ,1,7,5, ,6,3,2,1, , , ,1, , , , , , 
Х Торнадо   5мл от всех видов сорняков 1/200(5 лет),3, +, -  П 08.01.16 +  К 22.09.16 -  П 07.10.16 +, -  П 03.02.15 +  К 25.06.15 -, , , ,20, , ,50,30,10,22,10,65,30, ,61,293,13,45,65,329,328,87,107,314,29,412,21,1, ,55,35, , , ,10, ,10,3, , , ,1, , , , , , , , , , , , , ,1,50,2,20, ,10,5,2,25, ,116,27,141,42,382,63,432,460,434,244,456,104,235,35,15,1,1,22, ,5,8,6,20, ,15,4, ,4,2, , , , , , , , , , , , , , ,10, ,3, ,5,10,3,21,21,17,38,112,133,63,265,377,600,281,197,628,151,36,250,17,102,70,202,43, ,30, , , ,2, , , , , , , , , , , , , , , , , , , , ,2,10, , , , ,50, ,30,69,67,211,452,250,834,134,114,134,342,476, ,18, , , , , , , , , , , , , , , , , , , , , , , , 
